Order URL,Product Name,Product URL,Condition,Quantity,Image URL,Set Code,Release Date,Name,Code
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-F27DF5-76ECD,Darksteel Mutation - Commander Masters (CMM),https://store.tcgplayer.com/productCatalog/product/productSearch/505564,Near Mint,1,https://tcgplayer-cdn.tcgplayer.com/product/505564_in_1000x1000.jpg,CMM,2023-08,Commander Masters,CMM
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-EBBD45-463C0,Defiler of Instinct (Extended Art) - Dominaria United (DMU),https://store.tcgplayer.com/productCatalog/product/productSearch/283667,Near Mint,1,https://tcgplayer-cdn.tcgplayer.com/product/283667_in_1000x1000.jpg,DMU,2022-09,Dominaria United,DMU
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-889F23-E549E,Court of Ire - Commander Legends (CMR),https://store.tcgplayer.com/productCatalog/product/productSearch/227082,Near Mint,1,https://tcgplayer-cdn.tcgplayer.com/product/227082_in_1000x1000.jpg,CMR,2020-11,Commander Legends,CMR
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-8F52B2-1C0A2,Memory Lapse - Eternal Masters (EMA),https://store.tcgplayer.com/productCatalog/product/productSearch/118731,Near Mint,2,https://tcgplayer-cdn.tcgplayer.com/product/118731_in_1000x1000.jpg,EMA,2016-06,Eternal Masters,EMA
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-EBBD45-463C0,Flame Jab - Eventide (EVE),https://store.tcgplayer.com/productCatalog/product/productSearch/27118,Near Mint,1,https://tcgplayer-cdn.tcgplayer.com/product/27118_in_1000x1000.jpg,EVE,2008-06,Eventide,EVE
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-DE5C98-1335D,Samwise Gamgee (Showcase) - Universes Beyond: The Lord of the Rings: Tales of Middle-earth (LTR),https://store.tcgplayer.com/productCatalog/product/productSearch/498379,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/498379_in_1000x1000.jpg,LTR,2023-06,The Lord of the Rings: Tales of Middle-Earth,LTR
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-DE5C98-1335D,Well of Lost Dreams - The Brothers' War: Retro Frame Artifacts (BRR),https://store.tcgplayer.com/productCatalog/product/productSearch/452434,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/452434_in_1000x1000.jpg,BRR,2022-11,Retro Frame Artifacts,BRR
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-DE5C98-1335D,Prosperous Partnership - Commander: Streets of New Capenna (NCC),https://store.tcgplayer.com/productCatalog/product/productSearch/269601,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/269601_in_1000x1000.jpg,NCC,2022-05,Streets of New Capenna Commander Decks,NCC
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-889F23-E549E,Replicating Ring - Kaldheim (KHM),https://store.tcgplayer.com/productCatalog/product/productSearch/230178,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/230178_in_1000x1000.jpg,KHM,2021-02,Kaldheim,KHM
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-8F52B2-1C0A2,Urza's Mine - Double Masters (2XM),https://store.tcgplayer.com/productCatalog/product/productSearch/218281,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/218281_in_1000x1000.jpg,2XM,2020-08,Double Masters,2XM
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-8F52B2-1C0A2,Urza's Tower - Double Masters (2XM),https://store.tcgplayer.com/productCatalog/product/productSearch/218285,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/218285_in_1000x1000.jpg,2XM,2020-08,Double Masters,2XM
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-8F52B2-1C0A2,Construct Token - Core Set 2021 (M21),https://store.tcgplayer.com/productCatalog/product/productSearch/216704,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/216704_in_1000x1000.jpg,M21,2020-07,Core Set 2021,M21
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-67199C-38AAC,Dramatic Reversal - Kaladesh (KLD),https://store.tcgplayer.com/productCatalog/product/productSearch/123110,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/123110_in_1000x1000.jpg,KLD,2016-09,Kaladesh,KLD
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-8F52B2-1C0A2,Memory Lapse - Eternal Masters (EMA),https://store.tcgplayer.com/productCatalog/product/productSearch/118731,Lightly Played,5,https://tcgplayer-cdn.tcgplayer.com/product/118731_in_1000x1000.jpg,EMA,2016-06,Eternal Masters,EMA
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-889F23-E549E,Ring of Evos Isle - Magic 2013 (M13) (M13),https://store.tcgplayer.com/productCatalog/product/productSearch/59791,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/59791_in_1000x1000.jpg,M13,2012-07,Magic 2013,M13
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-F27DF5-76ECD,Unquestioned Authority - Judgment (JUD),https://store.tcgplayer.com/productCatalog/product/productSearch/10184,Lightly Played,1,https://tcgplayer-cdn.tcgplayer.com/product/10184_in_1000x1000.jpg,JUD,2002-05,Judgment,JUD
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-F27DF5-76ECD,Death's Presence - Return to Ravnica (RTR),https://store.tcgplayer.com/productCatalog/product/productSearch/66389,Moderately Played,1,https://tcgplayer-cdn.tcgplayer.com/product/66389_in_1000x1000.jpg,RTR,2012-10,Return to Ravnica,RTR
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-8F52B2-1C0A2,Angelheart Vial - Rise of the Eldrazi (ROE),https://store.tcgplayer.com/productCatalog/product/productSearch/34909,Moderately Played,1,https://tcgplayer-cdn.tcgplayer.com/product/34909_in_1000x1000.jpg,ROE,2010-04,Rise of the Eldrazi,ROE
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-EBBD45-463C0,Erebor Flamesmith - Universes Beyond: The Lord of the Rings: Tales of Middle-earth (LTR),https://store.tcgplayer.com/productCatalog/product/productSearch/499920,Lightly Played Foil,1,https://tcgplayer-cdn.tcgplayer.com/product/499920_in_1000x1000.jpg,LTR,2023-06,The Lord of the Rings: Tales of Middle-Earth,LTR
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-EBBD45-463C0,Invasion of Arcavios - March of the Machine (MOM),https://store.tcgplayer.com/productCatalog/product/productSearch/490546,Lightly Played Foil,1,https://tcgplayer-cdn.tcgplayer.com/product/490546_in_1000x1000.jpg,MOM,2023-04,March of the Machine,MOM
https://store.tcgplayer.com/admin/orders/manageorder/ACBB87ED-EBBD45-463C0,Electrolyze - Strixhaven: Mystical Archives (STA),https://store.tcgplayer.com/productCatalog/product/productSearch/235314,Lightly Played Foil,1,https://tcgplayer-cdn.tcgplayer.com/product/235314_in_1000x1000.jpg,STA,2021-04,Mystical Archive,STA
